url,tittel
"/nasjonalregnskap-og-konjunkturer/planlagte-endringer-i-nasjonalregnskapsstatistikkene",Planlagte endringer i nasjonalregnskapsstatistikkene
"/forskning/mikrookonomi/bedriftsatferd/fakta-om-entreprenorskap-i-norge-hvem-blir-entreprenorer-og-hvordan-presterer-de","Fakta om entreprenørskap i Norge: Hvem blir entreprenører, og hvordan presterer de?"
"/en/virksomheter-foretak-og-regnskap/artikler-og-publikasjoner/facts-about-entrepreneurship-in-norway",Facts about entrepreneurship in Norway
"/en/nasjonalregnskap-og-konjunkturer/artikler-og-publikasjoner/konjunkturtendenser-for-more-og-romsdal-2013",Economic trends for Møre og Romsdal
"/nasjonalregnskap-og-konjunkturer/artikler-og-publikasjoner/konjunkturtendenser-for-more-og-romsdal-2013",Konjunkturtendenser for Møre og Romsdal
"/en/forskning/nyheter?index=0",New research
"/jord-skog-jakt-og-fiskeri/artikler-og-publikasjoner/minst-hogstaktivitet-i-skogsameier?tabell=149876","Minst hogstaktivitet i skogsameier - Skogareal, etter type skog, fylke og eiendomsstørrelse. 2012. Dekar"
"/jord-skog-jakt-og-fiskeri/artikler-og-publikasjoner/minst-hogstaktivitet-i-skogsameier?tabell=149870","Minst hogstaktivitet i skogsameier - Skogeiendommer og produktivt skogareal, etter eierkategori. 2012"
"/jord-skog-jakt-og-fiskeri/artikler-og-publikasjoner/minst-hogstaktivitet-i-skogsameier?tabell=149871","Minst hogstaktivitet i skogsameier - Skogeiendommer, etter type eier. 2012"
"/jord-skog-jakt-og-fiskeri/artikler-og-publikasjoner/minst-hogstaktivitet-i-skogsameier?tabell=149878","Minst hogstaktivitet i skogsameier - Produktivt skogareal, etter eierkategori. 2012. Dekar"
"/jord-skog-jakt-og-fiskeri/artikler-og-publikasjoner/minst-hogstaktivitet-i-skogsameier?tabell=149874","Minst hogstaktivitet i skogsameier - Areal på skogeiendommer, etter arealkategori og fylke. 2012. Dekar"
"/jord-skog-jakt-og-fiskeri/artikler-og-publikasjoner/minst-hogstaktivitet-i-skogsameier?tabell=152323","Minst hogstaktivitet i skogsameier - Personlige skogeiere, etter eieform og bostedsfylke. 2012"
"/jord-skog-jakt-og-fiskeri/artikler-og-publikasjoner/minst-hogstaktivitet-i-skogsameier",Minst hogstaktivitet i skogsameier
"/utdanning/artikler-og-publikasjoner/effektevaluering-av-intensivopplaeringen-i-overgangsprosjektet-ny-giv-forste-delrapport","Effektevaluering av intensivopplæringen i overgangsprosjektet, Ny GIV : Første delrapport"
"/utdanning/artikler-og-publikasjoner/introduksjonsordningen-i-kommunene",Introduksjonsordningen i kommunene
"/nasjonalregnskap-og-konjunkturer/artikler-og-publikasjoner/virkninger-av-okt-ettersporsel-fra-petroleumsvirksomheten-og-okt-bruk-av-oljepenger-2003-2012",Virkninger av økt etterspørsel fra petroleumsvirksomheten og økt bruk av oljepenger 2003-2012
"/nasjonalregnskap-og-konjunkturer/artikler-og-publikasjoner/petroleumsvirksomhetens-virkning-paa-norsk-okonomi-og-lonnsdannelse",Petroleumsvirksomhetens virkning på norsk økonomi og lønnsdannelse
"/forskning/makrookonomi/makrookonomiske-analyser/virkninger-av-okt-ettersporsel-fra-petroleumsvirksomheten-og-okt-bruk-av-oljepenger-2003-2012",Virkninger av økt etterspørsel fra petroleumsvirksomheten og økt bruk av oljepenger 2003 – 2012
"/forskning/makrookonomi/makrookonomiske-analyser/konkurranseutsatte-naeringer-i-norge",Konkurranseutsatte næringer i Norge
"/forskning/makrookonomi/makrookonomiske-analyser/petroleumsvirksomhetens-virkning-paa-norsk-okonomi-og-lonnsdannelse-framtidig-nedbygging-og-folsomhet-for-oljeprissjokk",Petroleumsvirksomhetens virkning på norsk økonomi og lønnsdannelse – Framtidig nedbygging og følsomhet for oljeprissjokk
"/nasjonalregnskap-og-konjunkturer/artikler-og-publikasjoner/konkurranseutsatte-naeringer-i-norge",Konkurranseutsatte næringer i Norge
"/en/nasjonalregnskap-og-konjunkturer/artikler-og-publikasjoner/Exposed+industries+in+Norway",Exposed industries in Norway
"/en/nasjonalregnskap-og-konjunkturer/artikler-og-publikasjoner/virkninger-av-okt-ettersporsel-fra-petroleumsvirksomheten-og-okt-bruk-av-oljepenger-2003-2012",Effects of increased demand from petroleum and increased spending of oil revenues 2003-2012
"/en/nasjonalregnskap-og-konjunkturer/artikler-og-publikasjoner/petroleumsvirksomhetens-virkning-på-norsk-økonomi-og-lønnsdannelse",The Norwegian Petroleum Industry's Impact on the Economy and the Wage Determination
"/forskning/beregningsmodeller/modag-lister/modag-lister-2012",MODAG - utlisting og variabeldefinisjoner
"/nasjonalregnskap-og-konjunkturer/artikler-og-publikasjoner/ny-konjunkturoppgang-forst-i-2015",Ny konjunkturoppgang først i 2015
"/nasjonalregnskap-og-konjunkturer/artikler-og-publikasjoner/ny-konjunkturoppgang-forst-i-2015?tabell=152508",Ny konjunkturoppgang først i 2015 - Makroøkonomiske hovedstørrelser 2003-2016. Regnskap og prognoser. Prosentvis endringfra året før der ikke annet framgår
"/en/nasjonalregnskap-og-konjunkturer/artikler-og-publikasjoner/upturn-to-start-in-2015",Upturn to start in 2015
"/en/nasjonalregnskap-og-konjunkturer/artikler-og-publikasjoner/upturn-to-start-in-2015?tabell=152509",Upturn to start in 2015 - Main economic indicators 2003-2016. Accounts and forecasts. Percentage change from previous yearunless otherwise noted
"/nasjonalregnskap-og-konjunkturer/artikler-og-publikasjoner/fra-jordbruk-til-tjenester",Fra jordbruk til tjenester
"/energi-og-industri/artikler-og-publikasjoner/virkninger-av-eus-energieffektiviseringsdirektiv-for-norge",Virkninger av EUs energieffektiviseringsdirektiv for Norge
"/nasjonalregnskap-og-konjunkturer/artikler-og-publikasjoner/konjunkturutviklingen-i-norge-2013-5",Konjunkturutviklingen i Norge
"/kultur-og-fritid/artikler-og-publikasjoner/hvem-er-de-nye-involverte-fedrene",Hvem er de nye involverte fedrene?
"/nasjonalregnskap-og-konjunkturer/artikler-og-publikasjoner/internasjonal-økonomi-2013-5",Internasjonal økonomi
"/priser-og-prisindekser/artikler-og-publikasjoner/boligpris-og-kredittvekst-forsterker-hverandre",Boligpris- og kredittvekst forsterker hverandre
